Gene (corrected for NGE)	Telomere Phenotype*
AAR2	DAmP Long
ADE12	S
ADO1	S
AGP2	S
AHC2	L
ALA1	DAmP Short
APC4	DAmP Short
APE3	S
RAD27	L
ARC15	DAmP Short
ARC35	DAmP Short
ARD1	VL
ARF1	ss
ARG2	S
ARP2	DAmP Short
ARP3	DAmP Short
ARV1	S
ASC1	L
ATC1	sl
MAK3	S
SPP382	L
BBP1	DAmP Long
BEM2	sl
BEM4	S
BRE1	ss
BRE2	S
BRO1	S
BUD16	S
BUD21	sl
BUD23	sl
BUD32	short
CAX4	VS
CBC2	L
CBF5	DAmP Long
CCW14	S
CDC13	DAmP Long
CDC16	DAmP Long
CDC19	DAmP Long
CDC21	short
CDC34	DAmP Short
CDC45	Short
CDC73	S
CDC8	short
CDH1	sl
CGI121	short
CHO2	sl
CMD1	DAmP Long
COG3	DAmP Short
CSM1	sl
CSR2	ss
CST6	ss
CTF18	short
CTF8	ss
CTK1	S
CYC8	ss
DAD2	DAmP Short
DCC1	ss
DDC1	short
DEP1	S
DIG1	sl
DOA4	S
DUN1	ss
EAP1	S
EBS1	ss
ELG1	L
ERG2	ss
SAP155	S
EST1	VS
EST2	VS
EST3	VS
FAL1	DAmP Short
FCP1	DAmP Short
FMP26	sl
RPS30B	sl
NSR1	sl
MED6	ss
FYV6	sl
FZO1	Long
GAL11	S
GCD1	DAmP Long
PTA1	S
GLO4	sl
GON7	S
GPB2	ss
GPI8	DAmP Long
GTR1	S
GTR2	ss
GUP1	S
GUP2	sl
HCH1	ss
HCM1	L
HCR1	ss
HDA2	S
HEK2	Long
HEM4	DAmP Long
HFI1	ss
HIT1	sl
HMO1	L
HPR1	L
HRT1	DAmP Short
HSC82	S
HSP104	sl
HSP82	short
HST1	S
HTL1	L
PMR1	S
ILV5	DAmP Short
IMG2	L
IPK2	long
ISA1	S
KAE1	short
KCS1	long
KEM1	S
KRE33	Short
KRS1	DAmP Short
LCD1	Short
LDB19	S
LDB7	L
LEA1	L
LEO1	ss
LRP1	S
LSM7	sl
LSM8	DAmP Long
LST7	S
MAK10	L
MAK21	Short
MAK3	L
MAK31	L
MCD4	DAmP Long
MCM3	DAmP Long
